generation,best_score,best_height,elapsed_time
0,0.0007036219325714053,1421.2177786236325,0.8259010999463499
1,0.0007036219325714053,1421.2177786236325,1.2239087000489235
2,0.0007036219325714053,1421.2177786236325,1.6080857999622822
3,0.0007036219325714053,1421.2177786236325,1.9960115998983383
4,0.0007036219325714053,1421.2177786236325,2.3809128999710083
5,0.0007036219325714053,1421.2177786236325,2.768698599888012
6,0.0007036219325714053,1421.2177786236325,3.1524936999194324
7,0.0007036219325714053,1421.2177786236325,3.539830799913034
8,0.0007036219325714053,1421.2177786236325,3.9201187000144273
9,0.000716836911633911,1395.0174492558783,4.301796199986711
10,0.000716836911633911,1395.0174492558783,4.67969370004721
11,0.000716836911633911,1395.0174492558783,5.060508399968967
12,0.000716836911633911,1395.0174492558783,5.448130399920046
13,0.000716836911633911,1395.0174492558783,5.828550799982622
14,0.000716836911633911,1395.0174492558783,6.212879400001839
15,0.0007235828552066908,1382.0117389519282,6.593657199991867
16,0.0007235828552066908,1382.0117389519282,6.974479199852794
17,0.0007235828552066908,1382.0117389519282,7.356229299912229
18,0.0007235828552066908,1382.0117389519282,7.73671119986102
19,0.0007339548594821158,1362.4816118876952,8.120568899903446
20,0.0007339548594821158,1362.4816118876952,8.5039892999921
21,0.0007339548594821158,1362.4816118876952,8.888830000068992
22,0.0007339548594821158,1362.4816118876952,9.269038799917325
23,0.0007339548594821158,1362.4816118876952,9.649860099889338
24,0.0007339548594821158,1362.4816118876952,10.030030000023544
25,0.0007339548594821158,1362.4816118876952,10.414224399952218
26,0.0007339548594821158,1362.4816118876952,10.79453089996241
27,0.0007339548594821158,1362.4816118876952,11.172759799985215
28,0.0007339548594821158,1362.4816118876952,11.555000100051984
29,0.0007339548594821158,1362.4816118876952,11.937875800067559
