generation,best_score,best_height,elapsed_time
0,0.002932036150043888,341.0599149621779,0.013070299988612533
40,0.0035620308821651537,280.7387226783833,0.545905299950391
80,0.0035620308821651537,280.7387226783833,1.0485874998848885
120,0.0035620308821651537,280.7387226783833,1.5565472999587655
160,0.0035620308821651537,280.7387226783833,2.1142061999998987
200,0.0035620308821651537,280.7387226783833,3.084159499965608
240,0.0035620308821651537,280.7387226783833,4.363071700092405
280,0.0035620308821651537,280.7387226783833,5.467751299962401
320,0.0035620308821651537,280.7387226783833,5.989230799954385
360,0.0036060312594277614,277.3131811837619,6.489314900012687
400,0.0036060312594277614,277.3131811837619,6.98167539993301
440,0.0036060312594277614,277.3131811837619,7.476396000012755
480,0.0036060312594277614,277.3131811837619,7.975180600071326
520,0.0036060312594277614,277.3131811837619,8.48719109990634
560,0.0036060312594277614,277.3131811837619,8.992654300061986
600,0.0036060312594277614,277.3131811837619,9.51104040001519
640,0.0036060312594277614,277.3131811837619,10.034669700078666
680,0.0036060312594277614,277.3131811837619,10.54212009999901
720,0.0036060312594277614,277.3131811837619,11.036285999929532
760,0.0036060312594277614,277.3131811837619,11.539198100101203
800,0.0036060312594277614,277.3131811837619,12.03835769998841
840,0.0036060312594277614,277.3131811837619,12.542984399944544
880,0.0036060312594277614,277.3131811837619,13.043757200008258
920,0.0036060312594277614,277.3131811837619,13.542765599908307
960,0.0036060312594277614,277.3131811837619,14.069204699946567
1000,0.0036060312594277614,277.3131811837619,14.583448699908331
1040,0.0036060312594277614,277.3131811837619,15.09485729993321
1080,0.0036060312594277614,277.3131811837619,15.600288399960846
1120,0.0036060312594277614,277.3131811837619,16.105088100070134
1160,0.0036060312594277614,277.3131811837619,16.60435019992292
1200,0.0036060312594277614,277.3131811837619,17.106473200023174
1240,0.0036060312594277614,277.3131811837619,17.606440299889073
1280,0.0036060312594277614,277.3131811837619,18.10415029991418
1320,0.0036060312594277614,277.3131811837619,18.609960600035265
1360,0.0036060312594277614,277.3131811837619,19.117604699917138
1400,0.0036060312594277614,277.3131811837619,19.619543199893087
1440,0.0036060312594277614,277.3131811837619,20.119000799953938
1480,0.0036060312594277614,277.3131811837619,20.613723299931735
1520,0.0036060312594277614,277.3131811837619,21.110552599886432
1560,0.0036060312594277614,277.3131811837619,21.607300400035456
1600,0.0036060312594277614,277.3131811837619,22.10024719987996
1640,0.0036060312594277614,277.3131811837619,22.60295800003223
1680,0.0036060312594277614,277.3131811837619,23.117290700087324
1720,0.0036060312594277614,277.3131811837619,23.62144019990228
1760,0.0036060312594277614,277.3131811837619,24.12541570002213
1800,0.0036060312594277614,277.3131811837619,24.623555599944666
1840,0.0036060312594277614,277.3131811837619,25.130691200029105
1880,0.0036060312594277614,277.3131811837619,25.634470799937844
1920,0.0036060312594277614,277.3131811837619,26.14765250007622
1960,0.0036060312594277614,277.3131811837619,26.65720700006932
2000,0.0036060312594277614,277.3131811837619,27.168166999937966
2040,0.0036060312594277614,277.3131811837619,27.679061699891463
2080,0.0036060312594277614,277.3131811837619,28.178971800021827
2120,0.0036060312594277614,277.3131811837619,28.676992800086737
2160,0.0036060312594277614,277.3131811837619,29.173488900065422
2200,0.0036060312594277614,277.3131811837619,29.684719699900597
2240,0.0036060312594277614,277.3131811837619,30.188289100071415
2280,0.0036060312594277614,277.3131811837619,30.692793699912727
2320,0.0036060312594277614,277.3131811837619,31.199106500018388
